               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  98,            0.019742,           0.0070791,           0.0035357,             0.77659,                   1,             0.78983,             0.71568,           0.0059719,           0.0019139,           0.0001475,           0.0075993,           0.0075993,           0.0075993
                  99,            0.020839,           0.0068445,           0.0015387,             0.77002,             0.97917,              0.7938,             0.72538,            0.005566,           0.0017238,           0.0001848,           0.0075745,           0.0075745,           0.0075745
                 100,            0.021356,           0.0071085,            0.003094,             0.76812,             0.99421,             0.81228,             0.74064,            0.005812,           0.0018575,           0.0004142,           0.0075498,           0.0075498,           0.0075498
                 101,            0.020265,           0.0070049,           0.0035129,             0.77164,             0.97917,             0.80937,             0.74168,           0.0053738,           0.0018617,           0.0002046,            0.007525,            0.007525,            0.007525
                 102,            0.020835,           0.0069908,           0.0022255,             0.78319,                   1,             0.79734,             0.72607,           0.0055571,            0.001815,          0.00015079,           0.0075003,           0.0075003,           0.0075003
                 103,            0.021113,           0.0067161,           0.0021174,             0.77738,             0.98843,             0.78968,              0.7191,           0.0064589,           0.0018803,           0.0002988,           0.0074755,           0.0074755,           0.0074755
                 104,            0.021498,            0.007169,           0.0027308,             0.77965,                   1,              0.7903,             0.73343,           0.0055812,           0.0019224,          0.00011998,           0.0074507,           0.0074507,           0.0074507
                 105,              0.0196,            0.007419,           0.0023081,             0.77701,                   1,             0.81258,             0.75486,           0.0059656,           0.0018913,          0.00016932,            0.007426,            0.007426,            0.007426
                 106,            0.021319,           0.0070577,           0.0017064,             0.78245,             0.97917,             0.80418,             0.74451,           0.0058641,           0.0018827,          0.00023562,           0.0074013,           0.0074013,           0.0074013
                 107,            0.018851,           0.0069199,           0.0018417,             0.78144,                   1,             0.79702,             0.71751,           0.0056193,           0.0018083,          0.00014289,           0.0073765,           0.0073765,           0.0073765
                 108,            0.020664,           0.0071618,           0.0020523,             0.78553,              0.9939,              0.8014,             0.72807,           0.0063171,            0.001909,          0.00012123,           0.0073517,           0.0073517,           0.0073517
                 109,            0.019836,            0.006992,           0.0023649,             0.77765,                   1,             0.81589,             0.74649,           0.0060027,           0.0017046,          0.00022402,            0.007327,            0.007327,            0.007327
                 110,            0.019966,           0.0070279,            0.002412,             0.78182,             0.99591,             0.80618,             0.73766,           0.0061678,           0.0017745,          0.00016388,           0.0073023,           0.0073023,           0.0073023
                 111,            0.020836,           0.0069436,           0.0019865,             0.77677,                   1,             0.80205,             0.74063,           0.0054114,           0.0017771,          0.00012242,           0.0072775,           0.0072775,           0.0072775
                 112,            0.019647,           0.0066729,           0.0012189,             0.77735,                   1,             0.81359,             0.76174,           0.0060089,           0.0017833,          0.00016859,           0.0072527,           0.0072527,           0.0072527
                 113,            0.021341,           0.0067278,           0.0024773,             0.77894,                   1,             0.80088,             0.73798,           0.0059434,           0.0017096,          0.00014729,            0.007228,            0.007228,            0.007228
                 114,            0.019717,           0.0067768,           0.0028409,             0.77682,             0.97917,              0.7976,             0.73576,           0.0065279,           0.0016894,           0.0001188,           0.0072033,           0.0072033,           0.0072033
                 115,            0.020237,           0.0063919,           0.0016633,             0.77438,                   1,             0.79899,             0.75193,           0.0050979,           0.0016142,          0.00012215,           0.0071785,           0.0071785,           0.0071785
                 116,             0.01939,           0.0064496,            0.001486,             0.77458,                   1,             0.81107,             0.76021,           0.0052907,           0.0017109,          0.00015429,           0.0071538,           0.0071538,           0.0071538
                 117,             0.02174,           0.0063022,           0.0012174,              0.7739,                   1,             0.80215,             0.73651,           0.0053148,           0.0017195,          0.00016118,            0.007129,            0.007129,            0.007129
                 118,            0.018828,           0.0062472,           0.0023662,             0.76628,             0.97917,              0.8019,             0.74187,           0.0059349,           0.0017498,          0.00020045,           0.0071042,           0.0071042,           0.0071042
                 119,            0.020753,           0.0065982,           0.0021878,             0.77079,             0.99606,             0.81217,             0.75882,           0.0050252,           0.0016989,          0.00014643,           0.0070795,           0.0070795,           0.0070795
                 120,              0.0184,           0.0066847,           0.0016195,             0.77961,                   1,             0.82555,             0.76342,            0.005461,           0.0016799,          0.00012606,           0.0070547,           0.0070547,           0.0070547
                 121,            0.021017,           0.0067577,           0.0021951,             0.78622,                   1,              0.8166,             0.76387,            0.005058,           0.0016555,          0.00012238,             0.00703,             0.00703,             0.00703
                 122,            0.021013,            0.006883,            0.002514,             0.78063,                   1,             0.81609,              0.7543,           0.0052927,           0.0016463,          0.00011108,           0.0070053,           0.0070053,           0.0070053
                 123,            0.020364,           0.0064024,           0.0035193,             0.77953,                   1,              0.8031,             0.74208,           0.0051215,           0.0017328,           9.274e-05,           0.0069805,           0.0069805,           0.0069805
                 124,            0.020755,           0.0069374,           0.0043377,             0.78088,                   1,             0.80699,             0.75658,           0.0054256,            0.001656,          0.00011996,           0.0069558,           0.0069558,           0.0069558
                 125,            0.020487,            0.006966,           0.0024824,             0.78011,                   1,             0.79023,             0.73972,           0.0052004,           0.0017671,          0.00012192,            0.006931,            0.006931,            0.006931
                 126,            0.020549,           0.0069935,           0.0024683,             0.77858,                   1,             0.82152,             0.76681,           0.0053403,           0.0016773,          0.00010285,           0.0069063,           0.0069063,           0.0069063
                 127,            0.018279,           0.0066287,           0.0019322,               0.784,                   1,             0.83659,             0.77881,           0.0049794,           0.0016401,          0.00020821,           0.0068815,           0.0068815,           0.0068815
                 128,            0.019075,           0.0066393,            0.001285,             0.77878,             0.97917,             0.81383,             0.75747,            0.005003,           0.0016471,          0.00018865,           0.0068568,           0.0068568,           0.0068568
                 129,            0.020069,           0.0066358,            0.001583,             0.77906,                   1,             0.82959,             0.76624,           0.0050948,           0.0017658,          0.00017334,            0.006832,            0.006832,            0.006832
                 130,            0.019019,           0.0063591,           0.0014339,             0.78416,                   1,             0.84063,             0.78967,            0.005004,           0.0016611,          0.00016463,           0.0068073,           0.0068073,           0.0068073
                 131,            0.018817,           0.0063864,           0.0016025,             0.77584,                   1,              0.8327,              0.7768,           0.0053477,           0.0016233,           0.0001615,           0.0067825,           0.0067825,           0.0067825
                 132,            0.018284,           0.0064239,           0.0022655,             0.78299,             0.99811,             0.82912,             0.77657,            0.005097,           0.0016609,          0.00015843,           0.0067577,           0.0067577,           0.0067577
                 133,            0.019317,            0.006392,           0.0015861,             0.77867,                   1,             0.83221,             0.77808,           0.0053836,           0.0018595,          0.00015532,            0.006733,            0.006733,            0.006733
                 134,            0.019509,           0.0066118,           0.0017096,             0.78355,             0.99721,             0.82315,             0.76801,           0.0054773,           0.0018069,          0.00015392,           0.0067082,           0.0067082,           0.0067082
                 135,            0.018753,           0.0063342,           0.0020265,             0.78284,                   1,             0.83238,             0.77104,           0.0054085,           0.0016457,          0.00014609,           0.0066835,           0.0066835,           0.0066835
                 136,            0.019016,           0.0064528,           0.0016175,              0.7795,                   1,             0.82442,              0.7699,           0.0054164,           0.0017355,          0.00018919,           0.0066587,           0.0066587,           0.0066587
                 137,            0.017438,           0.0063299,           0.0016112,             0.77863,                   1,             0.83518,             0.77756,           0.0049652,           0.0016589,          0.00012971,            0.006634,            0.006634,            0.006634
                 138,            0.019524,           0.0062646,           0.0012056,             0.77434,             0.97917,              0.8286,             0.77662,           0.0056683,           0.0015879,          0.00010302,           0.0066092,           0.0066092,           0.0066092
